Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1675389162,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1675389163,20,,Aggregated,0.000000,0.000000,22,24,27,30,41,49,65,73,80,80,80,540,0,22,25.79579110455665,9.41559998318553,80.15629998408258,76.23333333333333
1675389164,60,,Aggregated,0.000000,0.000000,35,45,46,47,50,58,78,220,270,270,270,1131,0,35,38.6266786017176,9.41559998318553,268.9445000141859,76.75596816976127
1675389165,80,,Aggregated,420.000000,0.000000,46,50,58,64,70,82,210,330,410,410,410,1762,0,46,50.21784029542664,9.41559998318553,411.351399961859,76.66174801362088
1675389166,100,,Aggregated,485.500000,0.000000,49,64,70,73,93,200,260,410,830,840,840,2258,0,49,66.55894725390053,9.41559998318553,837.6973997801542,76.81620903454385
1675389167,120,,Aggregated,507.333333,0.000000,62,73,84,91,110,200,330,830,920,920,920,2868,0,62,79.35799679129853,9.41559998318553,920.446400064975,76.63668061366806
1675389168,140,,Aggregated,529.500000,0.000000,69,88,100,120,190,210,340,720,920,920,920,3542,0,69,93.66007953142577,9.41559998318553,920.446400064975,76.52738565782045
1675389169,160,,Aggregated,526.400000,0.000000,77,100,120,160,200,220,410,720,920,920,920,4127,0,77,106.16441710671779,8.539099944755435,920.446400064975,76.62660528228737
1675389170,180,,Aggregated,535.000000,0.000000,86,120,180,190,220,280,330,650,920,920,920,4750,0,86,119.15439903138108,8.539099944755435,920.446400064975,76.61494736842106
1675389171,200,,Aggregated,531.571429,0.000000,95,150,200,210,260,300,500,830,1200,1200,1200,5358,0,95,136.35068116799977,8.539099944755435,1211.9141002185643,76.6334453154162
1675389172,200,,Aggregated,538.750000,0.000000,100,190,210,230,300,380,580,830,1200,1200,1200,5783,0,100.0,152.8636707758269,8.539099944755435,1221.2180001661181,76.62493515476396
